sample_id,source_name,domain,language,compressor,rate,protected,mode,original_tokens,candidate_tokens,gross_saved_tokens,gross_saving_ratio,safe_effective_saved_tokens,safe_saving_ratio,guard_status,protected_spans,protected_retained,fallback,fallback_reason,latency_ms
m11-business-vi-unsafe-14,ContractNLI,business,vi,rule-based,0.33,True,R9_direct_api_guard,463,216,247,0.5334773218142549,0,0.0,FAIL,1,True,False,,12.651100056245923
m11-business-vi-safe-11,ContractNLI,business,vi,rule-based,0.33,True,R6_direct_compressor,421,411,10,0.023752969121140142,0,0.0,NOT_RUN,1,True,False,,0.1900000497698784
m11-business-vi-safe-11,ContractNLI,business,vi,rule-based,0.33,True,R7_direct_guard,421,411,10,0.023752969121140142,0,0.0,FAIL,1,True,False,,15.830000047571957
m11-business-vi-safe-11,ContractNLI,business,vi,rule-based,0.33,True,R8_api_guard,421,411,10,0.023752969121140142,0,0.0,FAIL,1,True,False,,15.765200019814074
m11-business-vi-safe-11,ContractNLI,business,vi,rule-based,0.33,True,R9_direct_api_guard,421,411,10,0.023752969121140142,0,0.0,FAIL,1,True,False,,15.955200069583952
m11-academic-vi-safe-21,SciFact,academic,vi,rule-based,0.33,True,R6_direct_compressor,399,227,172,0.43107769423558895,0,0.0,NOT_RUN,1,True,False,,0.1702000154182315
m11-academic-vi-safe-21,SciFact,academic,vi,rule-based,0.33,True,R7_direct_guard,399,227,172,0.43107769423558895,0,0.0,FAIL,1,True,False,,11.416900088079274
m11-academic-vi-safe-21,SciFact,academic,vi,rule-based,0.33,True,R8_api_guard,399,227,172,0.43107769423558895,0,0.0,FAIL,1,True,False,,12.35230010934174
m11-academic-vi-safe-21,SciFact,academic,vi,rule-based,0.33,True,R9_direct_api_guard,399,227,172,0.43107769423558895,0,0.0,FAIL,1,True,False,,12.522500124759972
m11-academic-vi-unsafe-13,SciFact,academic,vi,rule-based,0.33,True,R6_direct_compressor,393,289,104,0.26463104325699743,0,0.0,NOT_RUN,11,False,False,,0.19749999046325684
m11-academic-vi-unsafe-13,SciFact,academic,vi,rule-based,0.33,True,R7_direct_guard,393,289,104,0.26463104325699743,0,0.0,FAIL,11,False,False,,10.827300022356212
m11-academic-vi-unsafe-13,SciFact,academic,vi,rule-based,0.33,True,R8_api_guard,393,289,104,0.26463104325699743,0,0.0,FAIL,11,False,False,,12.41559989284724
m11-academic-vi-unsafe-13,SciFact,academic,vi,rule-based,0.33,True,R9_direct_api_guard,393,289,104,0.26463104325699743,0,0.0,FAIL,11,False,False,,12.613099883310497
m11-general-vi-unsafe-12,XNLI,general,vi,rule-based,0.33,True,R6_direct_compressor,20,20,0,0.0,0,0.0,NOT_RUN,0,True,False,,0.021499930880963802
m11-general-vi-unsafe-12,XNLI,general,vi,rule-based,0.33,True,R7_direct_guard,20,20,0,0.0,0,0.0,PASS,0,True,False,,0.3342999843880534
m11-general-vi-unsafe-12,XNLI,general,vi,rule-based,0.33,True,R8_api_guard,20,20,0,0.0,0,0.0,PASS,0,True,False,,1.1208999203518033
m11-general-vi-unsafe-12,XNLI,general,vi,rule-based,0.33,True,R9_direct_api_guard,20,20,0,0.0,0,0.0,PASS,0,True,False,,1.142399851232767
m11-business-vi-safe-12,ContractNLI,business,vi,rule-based,0.33,True,R6_direct_compressor,421,411,10,0.023752969121140142,0,0.0,NOT_RUN,1,True,False,,0.17440004739910364
m11-business-vi-safe-12,ContractNLI,business,vi,rule-based,0.33,True,R7_direct_guard,421,411,10,0.023752969121140142,0,0.0,FAIL,1,True,False,,14.440800063312054
m11-business-vi-safe-12,ContractNLI,business,vi,rule-based,0.33,True,R8_api_guard,421,411,10,0.023752969121140142,0,0.0,FAIL,1,True,False,,15.444800024852157
m11-business-vi-safe-12,ContractNLI,business,vi,rule-based,0.33,True,R9_direct_api_guard,421,411,10,0.023752969121140142,0,0.0,FAIL,1,True,False,,15.61920007225126
m11-business-en-safe-05,ContractNLI,business,en,rule-based,0.33,True,R6_direct_compressor,401,279,122,0.30423940149625933,0,0.0,NOT_RUN,2,True,False,,0.1892000436782837
m11-business-en-safe-05,ContractNLI,business,en,rule-based,0.33,True,R7_direct_guard,401,279,122,0.30423940149625933,0,0.0,FAIL,2,True,False,,14.118700055405498
m11-business-en-safe-05,ContractNLI,business,en,rule-based,0.33,True,R8_api_guard,401,279,122,0.30423940149625933,0,0.0,FAIL,2,True,False,,15.244100010022521
